model,param,mean,sd,q2.5,q97.5
base,beta,0.014,0.020,-0.025,0.054,,
base,deviance,11075.516,2.962,11071.425,11082.797,,
base,mu_alpha_log,3.060,0.019,3.023,3.095,,
base,sigma,0.398,0.007,0.384,0.413,,
base,sigma_alpha,0.019,0.022,0.001,0.075,,
beta,beta,0.013,0.020,-0.026,0.054,,
beta,deviance,11075.474,2.924,11071.552,11082.793,,
beta,mu_alpha_log,3.061,0.019,3.027,3.100,,
beta,sigma,0.399,0.007,0.385,0.413,,
beta,sigma_alpha,0.020,0.021,0.001,0.076,,
mu,beta,0.014,0.020,-0.024,0.055,,
mu,deviance,11075.405,2.840,11071.498,11082.439,,
mu,mu_alpha_log,3.060,0.019,3.024,3.095,,
mu,sigma,0.398,0.007,0.385,0.413,,
mu,sigma_alpha,0.019,0.023,0.001,0.071,,
sigma,beta,0.014,0.020,-0.026,0.054,,
sigma,deviance,11075.595,3.029,11071.589,11083.161,,
sigma,mu_alpha_log,3.061,0.019,3.021,3.096,,
sigma,sigma,0.399,0.007,0.385,0.413,,
sigma,sigma_alpha,0.019,0.019,0.001,0.073,,
sigma_alpha,beta,0.014,0.020,-0.025,0.053,,
sigma_alpha,deviance,11075.438,2.871,11071.473,11082.458,,
sigma_alpha,mu_alpha_log,3.061,0.020,3.024,3.099,,
sigma_alpha,sigma,0.398,0.007,0.384,0.412,,
sigma_alpha,sigma_alpha,0.020,0.023,0.001,0.079,,
beta_1,beta,0.015,0.020,-0.025,0.055,,
beta_1,deviance,11075.480,2.917,11071.442,11082.686,,
beta_1,mu_alpha_log,3.060,0.020,3.024,3.096,,
beta_1,sigma,0.398,0.007,0.385,0.413,,
beta_1,sigma_alpha,0.021,0.026,0.001,0.080,,
beta_2,beta,0.014,0.020,-0.025,0.054,,
beta_2,deviance,11075.358,2.772,11071.513,11082.424,,
beta_2,mu_alpha_log,3.061,0.019,3.026,3.097,,
beta_2,sigma,0.399,0.007,0.385,0.413,,
beta_2,sigma_alpha,0.018,0.018,0.001,0.068,,
beta_3,beta,0.012,0.020,-0.027,0.053,,
beta_3,deviance,11075.509,2.974,11071.549,11083.059,,
beta_3,mu_alpha_log,3.062,0.018,3.026,3.098,,
beta_3,sigma,0.399,0.007,0.385,0.412,,
beta_3,sigma_alpha,0.018,0.018,0.001,0.066,,
beta_4,beta,0.012,0.020,-0.026,0.051,,
beta_4,deviance,11075.441,2.857,11071.539,11082.348,,
beta_4,mu_alpha_log,3.062,0.019,3.026,3.099,,
beta_4,sigma,0.398,0.007,0.385,0.413,,
beta_4,sigma_alpha,0.019,0.019,0.001,0.070,,
mu_1,beta,0.014,0.021,-0.025,0.055,,
mu_1,deviance,11075.579,2.990,11071.520,11083.149,,
mu_1,mu_alpha_log,3.061,0.027,3.025,3.098,,
mu_1,sigma,0.399,0.007,0.385,0.413,,
mu_1,sigma_alpha,0.021,0.033,0.001,0.081,,
mu_2,beta,0.015,0.020,-0.026,0.055,,
mu_2,deviance,11075.505,2.863,11071.528,11082.461,,
mu_2,mu_alpha_log,3.061,0.021,3.027,3.100,,
mu_2,sigma,0.398,0.007,0.385,0.413,,
mu_2,sigma_alpha,0.020,0.028,0.000,0.072,,
mu_3,beta,0.015,0.020,-0.025,0.054,,
mu_3,deviance,11075.509,3.020,11071.451,11082.891,,
mu_3,mu_alpha_log,3.060,0.021,3.022,3.098,,
mu_3,sigma,0.398,0.007,0.384,0.413,,
mu_3,sigma_alpha,0.020,0.024,0.001,0.077,,
mu_4,beta,0.015,0.020,-0.024,0.055,,
mu_4,deviance,11075.498,2.953,11071.506,11083.025,,
mu_4,mu_alpha_log,3.059,0.020,3.021,3.096,,
mu_4,sigma,0.398,0.007,0.384,0.412,,
mu_4,sigma_alpha,0.019,0.021,0.000,0.069,,
sigma_1,beta,0.014,0.020,-0.025,0.054,,
sigma_1,deviance,11075.440,2.895,11071.503,11082.665,,
sigma_1,mu_alpha_log,3.061,0.019,3.025,3.095,,
sigma_1,sigma,0.398,0.007,0.385,0.412,,
sigma_1,sigma_alpha,0.019,0.020,0.001,0.070,,
sigma_2,beta,0.013,0.020,-0.026,0.053,,
sigma_2,deviance,11075.510,2.964,11071.576,11083.206,,
sigma_2,mu_alpha_log,3.062,0.022,3.024,3.100,,
sigma_2,sigma,0.399,0.007,0.385,0.413,,
sigma_2,sigma_alpha,0.021,0.033,0.000,0.079,,
sigma_alpha_1,beta,0.015,0.020,-0.025,0.055,,
sigma_alpha_1,deviance,11075.432,2.806,11071.466,11082.420,,
sigma_alpha_1,mu_alpha_log,3.060,0.019,3.025,3.096,,
sigma_alpha_1,sigma,0.399,0.007,0.385,0.413,,
sigma_alpha_1,sigma_alpha,0.019,0.019,0.001,0.073,,
sigma_alpha_2,beta,0.015,0.020,-0.023,0.055,,
sigma_alpha_2,deviance,11075.503,2.925,11071.595,11082.872,,
sigma_alpha_2,mu_alpha_log,3.060,0.019,3.024,3.095,,
sigma_alpha_2,sigma,0.399,0.007,0.385,0.413,,
sigma_alpha_2,sigma_alpha,0.019,0.019,0.000,0.069,,

